kraj,płeć,wiek,rok,wystąpień
FJ,m,35-44,2007,7.0
FJ,m,35-44,2008,4.0
FM,m,35-44,1995,3.0
FM,m,35-44,1996,0.0
FM,m,35-44,1997,0.0
FM,m,35-44,1998,4.0
FM,m,35-44,2000,1.0
FM,m,35-44,2001,0.0
FM,m,35-44,2002,1.0
FM,m,35-44,2003,2.0
FM,m,35-44,2004,2.0
FM,m,35-44,2006,6.0
FM,m,35-44,2007,4.0
FM,m,35-44,2008,1.0
FR,m,35-44,1995,502.0
FR,m,35-44,1996,413.0
FR,m,35-44,1997,362.0
FR,m,35-44,1999,310.0
FR,m,35-44,2000,247.0
FR,m,35-44,2001,260.0
FR,m,35-44,2002,223.0
FR,m,35-44,2003,223.0
FR,m,35-44,2004,220.0
FR,m,35-44,2005,222.0
FR,m,35-44,2006,238.0
FR,m,35-44,2007,196.0
FR,m,35-44,2008,161.0
GA,m,35-44,1995,80.0
GA,m,35-44,1996,40.0
GA,m,35-44,1998,129.0
GA,m,35-44,1999,129.0
GA,m,35-44,2001,147.0
GA,m,35-44,2002,148.0
GA,m,35-44,2003,149.0
GA,m,35-44,2004,143.0
GA,m,35-44,2005,140.0
GA,m,35-44,2006,148.0
GA,m,35-44,2008,196.0
GB,m,35-44,1997,90.0
GB,m,35-44,1998,141.0
GB,m,35-44,1999,68.0
GB,m,35-44,2000,96.0
GB,m,35-44,2001,105.0
GB,m,35-44,2002,132.0
GB,m,35-44,2003,128.0
GB,m,35-44,2004,148.0
GB,m,35-44,2005,166.0
GB,m,35-44,2006,213.0
GB,m,35-44,2007,223.0
GB,m,35-44,2008,155.0
GD,m,35-44,1997,0.0
GD,m,35-44,1998,1.0
GD,m,35-44,1999,0.0
GD,m,35-44,2006,0.0
GD,m,35-44,2008,1.0
GE,m,35-44,1995,25.0
GE,m,35-44,1996,93.0
GE,m,35-44,1997,91.0
GE,m,35-44,1998,99.0
GE,m,35-44,1999,151.0
GE,m,35-44,2000,113.0
GE,m,35-44,2001,199.0
GE,m,35-44,2002,181.0
GE,m,35-44,2003,185.0
GE,m,35-44,2004,226.0
GE,m,35-44,2005,268.0
GE,m,35-44,2006,300.0
GE,m,35-44,2007,308.0
GE,m,35-44,2008,906.0
GH,m,35-44,1995,398.0
GH,m,35-44,1996,368.0
GH,m,35-44,1997,781.0
GH,m,35-44,1998,913.0
GH,m,35-44,1999,1008.0
GH,m,35-44,2000,1115.0
GH,m,35-44,2001,1144.0
GH,m,35-44,2002,1282.0
GH,m,35-44,2003,1234.0
GH,m,35-44,2004,1250.0
GH,m,35-44,2005,1311.0
GH,m,35-44,2006,1388.0
GH,m,35-44,2007,1239.0
GM,m,35-44,1995,88.0
GM,m,35-44,1996,100.0
GM,m,35-44,1997,126.0
GM,m,35-44,1998,158.0
GM,m,35-44,1999,124.0
GM,m,35-44,2002,160.0
GM,m,35-44,2003,149.0
GM,m,35-44,2004,151.0
GM,m,35-44,2005,206.0
GM,m,35-44,2006,170.0
GM,m,35-44,2008,167.0
GN,m,35-44,1995,357.0
GN,m,35-44,1996,416.0
GN,m,35-44,1997,483.0
GN,m,35-44,1998,494.0
GN,m,35-44,1999,519.0
GN,m,35-44,2000,570.0
GN,m,35-44,2001,612.0
GN,m,35-44,2002,634.0
GN,m,35-44,2003,671.0
GN,m,35-44,2004,726.0
GN,m,35-44,2005,778.0
GN,m,35-44,2006,916.0
GN,m,35-44,2007,936.0
GN,m,35-44,2008,985.0
GQ,m,35-44,1995,37.0
GQ,m,35-44,1997,36.0
GQ,m,35-44,1998,39.0
GQ,m,35-44,2004,54.0
GQ,m,35-44,2008,85.0
GR,m,35-44,1997,34.0
GR,m,35-44,1998,31.0
GR,m,35-44,1999,17.0
GR,m,35-44,2000,32.0
GR,m,35-44,2001,29.0
GR,m,35-44,2002,27.0
GR,m,35-44,2003,25.0
GR,m,35-44,2004,22.0
GR,m,35-44,2005,22.0
GR,m,35-44,2006,22.0
GR,m,35-44,2007,34.0
GR,m,35-44,2008,12.0
GT,m,35-44,1995,236.0
GT,m,35-44,1996,218.0
GT,m,35-44,1997,229.0
GT,m,35-44,1998,234.0
GT,m,35-44,1999,235.0
GT,m,35-44,2000,216.0
GT,m,35-44,2001,169.0
GT,m,35-44,2002,171.0
GT,m,35-44,2003,169.0
GT,m,35-44,2004,209.0
GT,m,35-44,2005,185.0
GT,m,35-44,2007,226.0
GT,m,35-44,2008,193.0
GU,m,35-44,2000,6.0
GU,m,35-44,2001,10.0
GU,m,35-44,2002,5.0
GU,m,35-44,2003,3.0
GU,m,35-44,2004,2.0
GU,m,35-44,2005,4.0
GU,m,35-44,2006,2.0
GU,m,35-44,2007,2.0
GU,m,35-44,2008,7.0
GW,m,35-44,1996,113.0
GW,m,35-44,2000,80.0
GW,m,35-44,2002,128.0
GW,m,35-44,2003,118.0
GW,m,35-44,2004,147.0
GW,m,35-44,2005,153.0
GW,m,35-44,2006,143.0
GW,m,35-44,2008,191.0
GY,m,35-44,1995,6.0
GY,m,35-44,1996,4.0
GY,m,35-44,1997,12.0
GY,m,35-44,1998,42.0
GY,m,35-44,2000,14.0
GY,m,35-44,2001,44.0
GY,m,35-44,2002,94.0
GY,m,35-44,2003,114.0
GY,m,35-44,2004,97.0
GY,m,35-44,2005,116.0
GY,m,35-44,2006,59.0
GY,m,35-44,2007,44.0
GY,m,35-44,2008,71.0
HK,m,35-44,1997,174.0
HK,m,35-44,1999,162.0
HK,m,35-44,2000,160.0
HK,m,35-44,2001,162.0
HK,m,35-44,2002,163.0
HK,m,35-44,2003,140.0
HK,m,35-44,2004,128.0
HK,m,35-44,2005,108.0
HK,m,35-44,2006,135.0
HK,m,35-44,2007,110.0
HK,m,35-44,2008,95.0
HN,m,35-44,1995,204.0
HN,m,35-44,1996,142.0
HN,m,35-44,1997,111.0
HN,m,35-44,1998,211.0
HN,m,35-44,1999,219.0
HN,m,35-44,2000,246.0
HN,m,35-44,2001,344.0
HN,m,35-44,2002,353.0
HN,m,35-44,2003,235.0
HN,m,35-44,2004,259.0
HN,m,35-44,2005,215.0
HN,m,35-44,2006,213.0
HN,m,35-44,2007,194.0
HN,m,35-44,2008,202.0
HR,m,35-44,1995,210.0
HR,m,35-44,1997,180.0
HR,m,35-44,1998,177.0
HR,m,35-44,1999,83.0
HR,m,35-44,2001,186.0
HR,m,35-44,2002,75.0
HR,m,35-44,2003,68.0
HR,m,35-44,2004,68.0
HR,m,35-44,2005,48.0
HR,m,35-44,2006,58.0
HR,m,35-44,2008,34.0
HT,m,35-44,1996,289.0
HT,m,35-44,1997,453.0
HT,m,35-44,1998,656.0
HT,m,35-44,1999,672.0
HT,m,35-44,2000,613.0
HT,m,35-44,2001,587.0
HT,m,35-44,2002,572.0
HT,m,35-44,2003,625.0
HT,m,35-44,2004,606.0
HT,m,35-44,2005,701.0
HT,m,35-44,2006,672.0
HT,m,35-44,2007,760.0
HT,m,35-44,2008,696.0
HU,m,35-44,1996,151.0
HU,m,35-44,1997,163.0
HU,m,35-44,1998,149.0
HU,m,35-44,1999,155.0
HU,m,35-44,2000,85.0
HU,m,35-44,2001,97.0
HU,m,35-44,2002,102.0
HU,m,35-44,2003,89.0
HU,m,35-44,2004,99.0
HU,m,35-44,2005,67.0
HU,m,35-44,2006,71.0
HU,m,35-44,2007,48.0
HU,m,35-44,2008,47.0
ID,m,35-44,1995,306.0
ID,m,35-44,1996,1443.0
ID,m,35-44,1997,2221.0
ID,m,35-44,1998,4054.0
ID,m,35-44,1999,4999.0
ID,m,35-44,2001,6241.0
ID,m,35-44,2002,8760.0
ID,m,35-44,2003,10925.0
ID,m,35-44,2004,14881.0
ID,m,35-44,2005,18401.0
ID,m,35-44,2006,20332.0
ID,m,35-44,2007,18606.0
ID,m,35-44,2008,19224.0
IE,m,35-44,1998,21.0
IE,m,35-44,1999,10.0
IE,m,35-44,2000,7.0
IE,m,35-44,2001,14.0
IE,m,35-44,2002,13.0
IE,m,35-44,2003,13.0
IE,m,35-44,2004,10.0
IE,m,35-44,2005,21.0
IE,m,35-44,2006,17.0
IE,m,35-44,2007,32.0
IE,m,35-44,2008,6.0
IL,m,35-44,1996,21.0
IL,m,35-44,1997,20.0
IL,m,35-44,1998,35.0
IL,m,35-44,1999,22.0
IL,m,35-44,2000,17.0
IL,m,35-44,2001,17.0
IL,m,35-44,2002,13.0
IL,m,35-44,2003,22.0
IL,m,35-44,2004,13.0
IL,m,35-44,2005,12.0
IL,m,35-44,2006,14.0
IL,m,35-44,2007,23.0
IL,m,35-44,2008,18.0
IN,m,35-44,1995,287.0
IN,m,35-44,1996,934.0
IN,m,35-44,1997,1056.0
IN,m,35-44,1998,1851.0
IN,m,35-44,1999,7900.0
IN,m,35-44,2000,30829.0
IN,m,35-44,2001,29649.0
IN,m,35-44,2002,55829.0
IN,m,35-44,2003,63587.0
IN,m,35-44,2004,74450.0
IN,m,35-44,2005,76870.0
IN,m,35-44,2006,82939.0
IN,m,35-44,2007,88045.0
IN,m,35-44,2008,90498.0
IQ,m,35-44,1995,1085.0
IQ,m,35-44,1997,541.0
IQ,m,35-44,1998,583.0
IQ,m,35-44,1999,1081.0
IQ,m,35-44,2000,297.0
IQ,m,35-44,2001,275.0
IQ,m,35-44,2002,308.0
IQ,m,35-44,2003,355.0
IQ,m,35-44,2004,288.0
IQ,m,35-44,2005,261.0
IQ,m,35-44,2006,278.0
IQ,m,35-44,2007,276.0
IQ,m,35-44,2008,317.0
IR,m,35-44,1995,636.0
IR,m,35-44,1996,431.0
IR,m,35-44,1997,420.0
IR,m,35-44,1998,400.0
IR,m,35-44,1999,383.0
IR,m,35-44,2000,387.0
IR,m,35-44,2001,371.0
IR,m,35-44,2002,375.0
IR,m,35-44,2003,396.0
IR,m,35-44,2004,357.0
IR,m,35-44,2005,338.0
IR,m,35-44,2006,365.0
IR,m,35-44,2007,330.0
IR,m,35-44,2008,330.0
IS,m,35-44,1995,0.0
IS,m,35-44,1997,0.0
IS,m,35-44,1998,0.0
IS,m,35-44,1999,1.0
IS,m,35-44,2002,0.0
IS,m,35-44,2003,0.0
IS,m,35-44,2004,0.0
IS,m,35-44,2005,1.0
IS,m,35-44,2006,0.0
IS,m,35-44,2007,0.0
IS,m,35-44,2008,1.0
IT,m,35-44,1995,157.0
IT,m,35-44,1996,168.0
IT,m,35-44,1997,244.0
IT,m,35-44,1998,248.0
IT,m,35-44,1999,137.0
IT,m,35-44,2000,75.0
IT,m,35-44,2001,98.0
IT,m,35-44,2002,127.0
IT,m,35-44,2003,168.0
IT,m,35-44,2004,115.0
IT,m,35-44,2005,137.0
IT,m,35-44,2006,197.0
IT,m,35-44,2007,113.0
IT,m,35-44,2008,137.0
JM,m,35-44,1995,9.0
JM,m,35-44,1996,12.0
JM,m,35-44,1997,16.0
JM,m,35-44,1998,9.0
JM,m,35-44,1999,6.0
JM,m,35-44,2000,13.0
JM,m,35-44,2001,21.0
JM,m,35-44,2002,8.0
JM,m,35-44,2003,14.0
JM,m,35-44,2004,4.0
JM,m,35-44,2005,6.0
JM,m,35-44,2006,9.0
JM,m,35-44,2007,7.0
JM,m,35-44,2008,10.0
JO,m,35-44,1995,17.0
JO,m,35-44,1996,17.0
JO,m,35-44,1997,11.0
JO,m,35-44,1998,7.0
JO,m,35-44,1999,16.0
JO,m,35-44,2000,13.0
JO,m,35-44,2001,10.0
JO,m,35-44,2002,11.0
JO,m,35-44,2003,17.0
JO,m,35-44,2004,14.0
JO,m,35-44,2005,9.0
JO,m,35-44,2006,16.0
JO,m,35-44,2007,14.0
JO,m,35-44,2008,3.0
JP,m,35-44,1995,995.0
JP,m,35-44,1996,843.0
JP,m,35-44,1997,798.0
JP,m,35-44,1998,724.0
JP,m,35-44,1999,706.0
JP,m,35-44,2000,676.0
JP,m,35-44,2001,632.0
JP,m,35-44,2002,579.0
JP,m,35-44,2003,550.0
JP,m,35-44,2004,599.0
JP,m,35-44,2005,605.0
JP,m,35-44,2006,529.0
JP,m,35-44,2007,512.0
JP,m,35-44,2008,456.0
KE,m,35-44,1995,1675.0
KE,m,35-44,1996,2097.0
KE,m,35-44,1997,2333.0
KE,m,35-44,1998,2983.0
KE,m,35-44,1999,3349.0
KE,m,35-44,2000,3548.0
KE,m,35-44,2001,3903.0
KE,m,35-44,2002,4306.0
KE,m,35-44,2003,4560.0
KE,m,35-44,2004,5142.0
KE,m,35-44,2005,5069.0
KE,m,35-44,2006,4975.0
KE,m,35-44,2007,4959.0
KE,m,35-44,2008,4924.0
KG,m,35-44,1995,165.0
KG,m,35-44,1996,156.0
KG,m,35-44,1997,349.0
KG,m,35-44,1998,141.0
KG,m,35-44,1999,244.0
KG,m,35-44,2000,205.0
KG,m,35-44,2001,217.0
KG,m,35-44,2002,233.0
KG,m,35-44,2003,241.0
KG,m,35-44,2004,265.0
KG,m,35-44,2005,269.0
KG,m,35-44,2006,245.0
KG,m,35-44,2007,186.0
KG,m,35-44,2008,190.0
KH,m,35-44,1995,1147.0
KH,m,35-44,1996,1363.0
KH,m,35-44,1998,1477.0
KH,m,35-44,1999,1734.0
KH,m,35-44,2000,1618.0
KH,m,35-44,2001,1601.0
KH,m,35-44,2002,1956.0
KH,m,35-44,2003,2183.0
KH,m,35-44,2004,2261.0
KH,m,35-44,2005,2349.0
KH,m,35-44,2006,2205.0
KH,m,35-44,2007,2190.0
KH,m,35-44,2008,2040.0
KI,m,35-44,1996,2.0
KI,m,35-44,1997,0.0
KI,m,35-44,1998,2.0
KI,m,35-44,1999,2.0
KI,m,35-44,2000,3.0
KI,m,35-44,2001,3.0
KI,m,35-44,2002,7.0
KI,m,35-44,2003,9.0
KI,m,35-44,2004,12.0
KI,m,35-44,2005,12.0
KI,m,35-44,2006,16.0
KI,m,35-44,2007,10.0
KI,m,35-44,2008,15.0
KM,m,35-44,1995,9.0
KM,m,35-44,1996,12.0
KM,m,35-44,1998,13.0
KM,m,35-44,2000,14.0
KM,m,35-44,2001,10.0
KM,m,35-44,2002,8.0
KM,m,35-44,2003,5.0
KM,m,35-44,2005,6.0
KM,m,35-44,2006,7.0
KM,m,35-44,2008,4.0
KN,m,35-44,1996,1.0
KN,m,35-44,1998,2.0
KN,m,35-44,2007,1.0
KN,m,35-44,2008,0.0
KP,m,35-44,1997,640.0
KP,m,35-44,1998,34.0
KP,m,35-44,1999,401.0
KP,m,35-44,2000,2927.0
KP,m,35-44,2001,2276.0
KP,m,35-44,2002,2584.0
KP,m,35-44,2003,2678.0
KP,m,35-44,2004,2991.0
KP,m,35-44,2005,2688.0
KP,m,35-44,2006,3219.0
KP,m,35-44,2007,3717.0
KP,m,35-44,2008,4263.0
KR,m,35-44,1995,1425.0
KR,m,35-44,1996,1457.0
KR,m,35-44,1997,1221.0
KR,m,35-44,1998,1329.0
KR,m,35-44,1999,1180.0
KR,m,35-44,2000,988.0
KR,m,35-44,2001,1419.0
KR,m,35-44,2002,1374.0
KR,m,35-44,2003,1265.0
KR,m,35-44,2004,1364.0
KR,m,35-44,2005,1326.0
KR,m,35-44,2006,1223.0
KR,m,35-44,2007,1144.0
KR,m,35-44,2008,1093.0
KW,m,35-44,1995,32.0
KW,m,35-44,1996,16.0
KW,m,35-44,1997,37.0
KW,m,35-44,1998,42.0
KW,m,35-44,1999,26.0
KW,m,35-44,2000,32.0
KW,m,35-44,2001,29.0
KW,m,35-44,2002,32.0
KW,m,35-44,2003,33.0
KW,m,35-44,2004,38.0
KW,m,35-44,2005,29.0
KW,m,35-44,2006,40.0
KW,m,35-44,2007,25.0
KW,m,35-44,2008,56.0
KY,m,35-44,1998,0.0
KY,m,35-44,1999,1.0
KY,m,35-44,2000,1.0
KY,m,35-44,2001,0.0
KY,m,35-44,2003,0.0
KY,m,35-44,2004,0.0
KY,m,35-44,2006,0.0
KY,m,35-44,2007,0.0
KZ,m,35-44,1997,725.0
KZ,m,35-44,1998,817.0
KZ,m,35-44,1999,1026.0
KZ,m,35-44,2000,1379.0
KZ,m,35-44,2001,1485.0
KZ,m,35-44,2002,1490.0
KZ,m,35-44,2004,1183.0
KZ,m,35-44,2005,983.0
KZ,m,35-44,2006,848.0
KZ,m,35-44,2007,859.0
KZ,m,35-44,2008,811.0
LA,m,35-44,1995,68.0
LA,m,35-44,1996,97.0
LA,m,35-44,1997,151.0
LA,m,35-44,1998,150.0
LA,m,35-44,1999,183.0
LA,m,35-44,2000,166.0
LA,m,35-44,2001,176.0
LA,m,35-44,2002,220.0
LA,m,35-44,2003,239.0
LA,m,35-44,2004,231.0
LA,m,35-44,2005,296.0
LA,m,35-44,2006,340.0
LA,m,35-44,2007,307.0
LA,m,35-44,2008,329.0
LB,m,35-44,1995,30.0
LB,m,35-44,1996,18.0
LB,m,35-44,1997,22.0
LB,m,35-44,1998,22.0
LB,m,35-44,1999,35.0
LB,m,35-44,2000,20.0
LB,m,35-44,2001,18.0
LB,m,35-44,2002,14.0
LB,m,35-44,2003,22.0
LB,m,35-44,2004,18.0
LB,m,35-44,2005,15.0
LB,m,35-44,2006,18.0
LB,m,35-44,2007,13.0
LB,m,35-44,2008,12.0
LC,m,35-44,1997,2.0
LC,m,35-44,1998,1.0
LC,m,35-44,2000,1.0
LC,m,35-44,2001,0.0
LC,m,35-44,2002,1.0
LC,m,35-44,2003,1.0
LC,m,35-44,2004,1.0
LC,m,35-44,2005,0.0
LC,m,35-44,2007,3.0
LC,m,35-44,2008,2.0
LK,m,35-44,1995,519.0
LK,m,35-44,1996,491.0
LK,m,35-44,1997,596.0
LK,m,35-44,1998,628.0
LK,m,35-44,1999,621.0
LK,m,35-44,2000,695.0
LK,m,35-44,2001,713.0
LK,m,35-44,2002,682.0
LK,m,35-44,2003,694.0
LK,m,35-44,2004,664.0
LK,m,35-44,2005,724.0
LK,m,35-44,2006,600.0
LK,m,35-44,2007,664.0
LK,m,35-44,2008,717.0
LR,m,35-44,1996,84.0
LR,m,35-44,1998,158.0
LR,m,35-44,2000,127.0
LR,m,35-44,2001,132.0
LR,m,35-44,2002,295.0
LR,m,35-44,2003,204.0
LR,m,35-44,2004,285.0
LR,m,35-44,2005,333.0
LR,m,35-44,2006,371.0
LR,m,35-44,2008,532.0
LS,m,35-44,1995,256.0
LS,m,35-44,1996,367.0
LS,m,35-44,1997,463.0
LS,m,35-44,1998,488.0
LS,m,35-44,2000,517.0
LS,m,35-44,2002,535.0
LS,m,35-44,2003,592.0
LS,m,35-44,2004,696.0
LS,m,35-44,2005,397.0
LS,m,35-44,2006,550.0
LS,m,35-44,2007,73.0
LS,m,35-44,2008,542.0
LT,m,35-44,1995,225.0
LT,m,35-44,1996,224.0
LT,m,35-44,1997,227.0
LT,m,35-44,1998,165.0
LT,m,35-44,1999,153.0
LT,m,35-44,2000,145.0
LT,m,35-44,2001,197.0
LT,m,35-44,2002,176.0
LT,m,35-44,2003,175.0
LT,m,35-44,2004,161.0
LT,m,35-44,2005,186.0
LT,m,35-44,2006,207.0
LT,m,35-44,2007,165.0
LT,m,35-44,2008,162.0
LU,m,35-44,1996,4.0
LU,m,35-44,1997,7.0
LU,m,35-44,1998,7.0
LU,m,35-44,2001,0.0
LU,m,35-44,2002,3.0
LU,m,35-44,2003,7.0
LU,m,35-44,2004,4.0
LU,m,35-44,2005,2.0
LU,m,35-44,2006,2.0
LU,m,35-44,2007,1.0
LU,m,35-44,2008,0.0
LV,m,35-44,1995,71.0
LV,m,35-44,1996,130.0
LV,m,35-44,1997,145.0
LV,m,35-44,1998,129.0
LV,m,35-44,1999,110.0
LV,m,35-44,2000,124.0
LV,m,35-44,2001,138.0
LV,m,35-44,2002,123.0
LV,m,35-44,2003,141.0
LV,m,35-44,2004,119.0
LV,m,35-44,2005,104.0
LV,m,35-44,2006,82.0
LV,m,35-44,2007,93.0
LV,m,35-44,2008,71.0
LY,m,35-44,1995,78.0
LY,m,35-44,1996,82.0
LY,m,35-44,1999,115.0
LY,m,35-44,2000,86.0
LY,m,35-44,2003,142.0
LY,m,35-44,2004,173.0
LY,m,35-44,2005,168.0
LY,m,35-44,2006,150.0
LY,m,35-44,2007,78.0
LY,m,35-44,2008,162.0
MA,m,35-44,1995,1737.0
MA,m,35-44,1996,1721.0
MA,m,35-44,1997,1659.0
MA,m,35-44,1998,1744.0
MA,m,35-44,1999,1641.0
MA,m,35-44,2000,1705.0
MA,m,35-44,2001,1731.0
MA,m,35-44,2002,1647.0
MA,m,35-44,2003,1667.0
MA,m,35-44,2004,1676.0
MA,m,35-44,2005,1583.0
MA,m,35-44,2006,1498.0
MA,m,35-44,2007,1545.0
MA,m,35-44,2008,1514.0
MC,m,35-44,1999,0.0
MD,m,35-44,1995,166.0
MD,m,35-44,1996,55.0
MD,m,35-44,1997,86.0
MD,m,35-44,1998,116.0
MD,m,35-44,1999,144.0
MD,m,35-44,2000,36.0
MD,m,35-44,2001,230.0
MD,m,35-44,2002,237.0
MD,m,35-44,2003,252.0
MD,m,35-44,2004,284.0
MD,m,35-44,2005,345.0
MD,m,35-44,2006,349.0
MD,m,35-44,2007,343.0
MD,m,35-44,2008,314.0
ME,m,35-44,2005,7.0
ME,m,35-44,2006,7.0
ME,m,35-44,2007,3.0
ME,m,35-44,2008,10.0
MG,m,35-44,1995,1173.0
MG,m,35-44,1996,1271.0
MG,m,35-44,1998,1420.0
MG,m,35-44,2001,1625.0
MG,m,35-44,2002,1563.0
MG,m,35-44,2003,1839.0
MG,m,35-44,2004,1482.0
MG,m,35-44,2005,1732.0
MG,m,35-44,2006,2220.0
MG,m,35-44,2007,2097.0
MG,m,35-44,2008,2113.0
MH,m,35-44,1996,3.0
MH,m,35-44,1998,1.0
MH,m,35-44,1999,4.0
MH,m,35-44,2000,1.0
MH,m,35-44,2001,2.0
MH,m,35-44,2002,1.0
MH,m,35-44,2003,7.0
MH,m,35-44,2004,3.0
MH,m,35-44,2005,5.0
MH,m,35-44,2006,4.0
MH,m,35-44,2007,2.0
MH,m,35-44,2008,2.0
MK,m,35-44,1995,45.0
MK,m,35-44,1996,35.0
MK,m,35-44,1997,25.0
MK,m,35-44,1998,56.0
MK,m,35-44,1999,19.0
MK,m,35-44,2000,20.0
MK,m,35-44,2001,17.0
MK,m,35-44,2002,28.0
MK,m,35-44,2003,35.0
MK,m,35-44,2004,19.0
MK,m,35-44,2005,23.0
MK,m,35-44,2006,25.0
MK,m,35-44,2007,27.0
MK,m,35-44,2008,13.0
ML,m,35-44,1995,294.0
ML,m,35-44,1996,364.0
ML,m,35-44,1997,493.0
ML,m,35-44,1998,428.0
ML,m,35-44,1999,429.0
ML,m,35-44,2000,396.0
ML,m,35-44,2002,447.0
ML,m,35-44,2003,438.0
ML,m,35-44,2004,473.0
ML,m,35-44,2005,539.0
ML,m,35-44,2006,550.0
ML,m,35-44,2007,570.0
ML,m,35-44,2008,640.0
MM,m,35-44,1995,1401.0
MM,m,35-44,1996,1535.0
MM,m,35-44,1997,1405.0
MM,m,35-44,1998,1584.0
MM,m,35-44,1999,1805.0
MM,m,35-44,2000,2781.0
MM,m,35-44,2001,3353.0
MM,m,35-44,2002,4016.0
MM,m,35-44,2003,4427.0
MM,m,35-44,2004,4966.0
MM,m,35-44,2005,5888.0
MM,m,35-44,2006,6536.0
MM,m,35-44,2007,6826.0
MM,m,35-44,2008,6396.0
MN,m,35-44,1994,25.0
MN,m,35-44,1995,68.0
MN,m,35-44,1996,91.0
MN,m,35-44,1997,204.0
MN,m,35-44,1998,158.0
MN,m,35-44,1999,178.0
MN,m,35-44,2000,171.0
MN,m,35-44,2001,179.0
MN,m,35-44,2002,184.0
MN,m,35-44,2003,171.0
MN,m,35-44,2004,229.0
MN,m,35-44,2005,232.0
MN,m,35-44,2006,241.0
MN,m,35-44,2007,232.0
MN,m,35-44,2008,235.0
MO,m,35-44,1995,20.0
MO,m,35-44,1996,34.0
MO,m,35-44,1997,47.0
MO,m,35-44,1998,42.0
MO,m,35-44,2000,25.0
MO,m,35-44,2001,26.0
MO,m,35-44,2002,21.0
MO,m,35-44,2003,16.0
MO,m,35-44,2004,18.0
MO,m,35-44,2005,21.0
MO,m,35-44,2006,17.0
MO,m,35-44,2007,14.0
MO,m,35-44,2008,10.0
MP,m,35-44,1995,5.0
MP,m,35-44,1996,5.0
MP,m,35-44,1998,3.0
MP,m,35-44,2000,9.0
MP,m,35-44,2001,0.0
MP,m,35-44,2002,7.0
MP,m,35-44,2003,2.0
MP,m,35-44,2004,2.0
MP,m,35-44,2005,3.0
MP,m,35-44,2006,3.0
MP,m,35-44,2007,3.0
MP,m,35-44,2008,1.0
MR,m,35-44,1997,341.0
MR,m,35-44,1999,262.0
MR,m,35-44,2004,235.0
MR,m,35-44,2006,203.0
MR,m,35-44,2007,261.0
MR,m,35-44,2008,249.0
MS,m,35-44,2003,0.0
MS,m,35-44,2004,0.0
MT,m,35-44,1995,1.0
MT,m,35-44,1996,0.0
MT,m,35-44,1997,0.0
MT,m,35-44,1998,0.0
MT,m,35-44,1999,0.0
MT,m,35-44,2000,1.0
MT,m,35-44,2002,1.0
MT,m,35-44,2003,0.0
MT,m,35-44,2004,0.0
MT,m,35-44,2005,1.0
MT,m,35-44,2006,2.0
MT,m,35-44,2007,0.0
MT,m,35-44,2008,2.0
MU,m,35-44,1995,22.0
MU,m,35-44,1998,21.0
MU,m,35-44,1999,15.0
MU,m,35-44,2000,18.0
MU,m,35-44,2002,21.0
MU,m,35-44,2003,10.0
MU,m,35-44,2004,24.0
MU,m,35-44,2005,21.0
MU,m,35-44,2006,22.0
MU,m,35-44,2007,12.0
MU,m,35-44,2008,14.0
MV,m,35-44,1995,10.0
MV,m,35-44,1996,3.0
MV,m,35-44,1997,2.0
MV,m,35-44,1998,8.0
MV,m,35-44,1999,9.0
MV,m,35-44,2000,2.0
MV,m,35-44,2001,3.0
MV,m,35-44,2002,0.0
MV,m,35-44,2003,4.0
MV,m,35-44,2004,3.0
MV,m,35-44,2005,5.0
MV,m,35-44,2006,3.0
MV,m,35-44,2007,6.0
MV,m,35-44,2008,3.0
MW,m,35-44,1995,833.0
MW,m,35-44,1996,937.0
MW,m,35-44,1997,995.0
MW,m,35-44,1998,1158.0
MW,m,35-44,1999,1083.0
MW,m,35-44,2000,1113.0
MW,m,35-44,2001,1025.0
MW,m,35-44,2003,936.0
MW,m,35-44,2004,1081.0
MW,m,35-44,2005,1031.0
MW,m,35-44,2006,1054.0
MW,m,35-44,2007,954.0
MW,m,35-44,2008,982.0
MX,m,35-44,1996,940.0
MX,m,35-44,1998,1200.0
MX,m,35-44,1999,1093.0
MX,m,35-44,2000,1162.0
MX,m,35-44,2001,1683.0
MX,m,35-44,2002,1301.0
MX,m,35-44,2003,1417.0
MX,m,35-44,2004,1181.0
MX,m,35-44,2005,1314.0
MX,m,35-44,2006,1333.0
MX,m,35-44,2007,1286.0
MX,m,35-44,2008,1314.0
MY,m,35-44,1995,775.0
MY,m,35-44,1996,894.0
MY,m,35-44,1997,961.0
MY,m,35-44,1998,1050.0
MY,m,35-44,1999,1152.0
MY,m,35-44,2000,1177.0
MY,m,35-44,2001,1221.0
MY,m,35-44,2002,1182.0
MY,m,35-44,2003,2073.0
MY,m,35-44,2004,2189.0
MY,m,35-44,2005,2277.0
MY,m,35-44,2006,734.0
MY,m,35-44,2007,2082.0
MY,m,35-44,2008,2318.0
MZ,m,35-44,1995,1338.0
MZ,m,35-44,1996,1367.0
MZ,m,35-44,1997,1439.0
NC,m,35-44,1995,4.0
NC,m,35-44,1996,3.0
NC,m,35-44,1999,1.0
NC,m,35-44,2000,4.0
NC,m,35-44,2001,1.0
NC,m,35-44,2002,1.0
NC,m,35-44,2003,1.0
NC,m,35-44,2004,3.0
NC,m,35-44,2005,0.0
NC,m,35-44,2006,1.0
NC,m,35-44,2007,2.0
NC,m,35-44,2008,0.0
